"table-cell href","table-cell-value","subdomain","table-cell-value 2","table-cell-desc 2"
"https://fragment.com/username/toyota","@toyota","toyota","94,000","14 Dec 2022 at 02:49"
"https://fragment.com/username/openai","@openai","openai","93,331","27 Feb 2024 at 20:14"
"https://fragment.com/username/asset","@asset","asset","93,000","27 Nov 2022 at 21:48"
"https://fragment.com/username/gate","@gate","gate","93,000","21 Dec 2022 at 00:50"
"https://fragment.com/username/money","@money","money","92,400","23 Sep 2023 at 12:17"
"https://fragment.com/username/bull","@bull","bull","92,000","16 Nov 2022 at 00:33"
"https://fragment.com/username/mall","@mall","mall","92,000","7 Jan 2023 at 14:08"
"https://fragment.com/username/plus","@plus","plus","92,000","28 Dec 2022 at 05:13"
"https://fragment.com/username/point","@point","point","92,000","19 Dec 2022 at 04:27"
"https://fragment.com/username/aura","@aura","aura","91,000","19 Nov 2022 at 23:36"
"https://fragment.com/username/city","@city","city","91,000","16 Nov 2022 at 22:10"
"https://fragment.com/username/livechart","@livechart","livechart","91,000","27 Nov 2022 at 19:08"
"https://fragment.com/username/pandora","@pandora","pandora","91,000","2 Dec 2022 at 21:47"
"https://fragment.com/username/racing","@racing","racing","91,000","5 Jan 2023 at 21:28"
"https://fragment.com/username/chanel","@chanel","chanel","90,000","3 Nov 2022 at 01:38"
"https://fragment.com/username/lion","@lion","lion","90,000","18 Nov 2022 at 02:05"
"https://fragment.com/username/nestle","@nestle","nestle","90,000","23 Nov 2022 at 19:18"
"https://fragment.com/username/today","@today","today","90,000","10 Dec 2022 at 13:31"
"https://fragment.com/username/cafe","@cafe","cafe","89,000","19 Nov 2022 at 20:50"
"https://fragment.com/username/goat","@goat","goat","89,000","10 Dec 2022 at 04:09"
"https://fragment.com/username/life","@life","life","89,000","19 Nov 2022 at 22:10"
"https://fragment.com/username/shib","@shib","shib","89,000","6 Dec 2022 at 03:44"
"https://fragment.com/username/stake","@stake","stake","88,200","6 Dec 2022 at 10:44"
"https://fragment.com/username/fishing","@fishing","fishing","88,000","24 Nov 2022 at 02:15"
"https://fragment.com/username/nasa","@nasa","nasa","88,000","23 Dec 2022 at 14:45"
"https://fragment.com/username/alexa","@alexa","alexa","87,000","12 Nov 2022 at 16:39"
"https://fragment.com/username/mind","@mind","mind","87,000","12 Dec 2022 at 04:39"
"https://fragment.com/username/capital","@capital","capital","86,000","25 Nov 2022 at 19:52"
"https://fragment.com/username/dragon","@dragon","dragon","86,000","13 Nov 2022 at 18:44"
"https://fragment.com/username/studio","@studio","studio","86,000","27 Dec 2022 at 23:34"
"https://fragment.com/username/plane","@plane","plane","85,000","19 Nov 2022 at 21:54"
"https://fragment.com/username/gifts","@gifts","gifts","84,000","25 Nov 2022 at 04:39"
"https://fragment.com/username/gongxu","@gongxu","gongxu","84,000","2 Apr 2023 at 13:29"
"https://fragment.com/username/realestate","@realestate","realestate","84,000","6 Dec 2022 at 12:07"
"https://fragment.com/username/lessons","@lessons","lessons","83,000","19 Nov 2022 at 22:12"
"https://fragment.com/username/proton","@proton","proton","83,000","12 Dec 2022 at 04:29"
"https://fragment.com/username/asia","@asia","asia","82,000","22 Dec 2022 at 07:36"
"https://fragment.com/username/bond","@bond","bond","82,000","19 Nov 2022 at 15:59"
"https://fragment.com/username/chats","@chats","chats","82,000","2 Jan 2023 at 14:54"
"https://fragment.com/username/expo","@expo","expo","82,000","20 Nov 2022 at 00:40"
"https://fragment.com/username/link","@link","link","82,000","18 Dec 2022 at 09:39"
